year,yr_surv,col_area,rs,nboffspring,sum_surv,yrlg_disp,death_type,massjun,massaug,nb_mass,uid,uid.year
2011,0,horsemound,no,NA,NA,NA,NA,327.0519664,1121.7389,7,64,64 _ 2011
2002,0,beavertalus,no,NA,NA,NA,NA,2916.530248,4040.031354,3,1193,1193 _ 2002
2002,1,bench,wean,8,NA,NA,NA,3115.387568,3776.581624,2,127,127 _ 2002
2003,1,bench,wean,7,NA,NA,NA,2855.833357,3887.153887,2,127,127 _ 2003
2004,1,bench,wean,6,NA,NA,NA,2960.838425,3658.964162,4,127,127 _ 2004
2005,0,bench,wean,5,NA,NA,NA,2819.866257,2847.528485,3,127,127 _ 2005
2002,1,river,wean,5,NA,NA,NA,3003.438199,3997.28746,8,258,258 _ 2002
2003,1,river,wean,2,NA,NA,NA,2783.963811,3838.102533,8,258,258 _ 2003
2004,0,river,wean,3,NA,NA,NA,2838.199592,3282.252879,4,258,258 _ 2004
2002,0,stonefield,wean,6,NA,NA,NA,2641.656354,3227.230169,9,1197,1197 _ 2002
2002,1,river,sire,5,NA,NA,NA,NA,NA,NA,1613,1613 _ 2002
2003,1,river,no,NA,NA,NA,NA,NA,NA,NA,1613,1613 _ 2003
2004,0,river,NA,NA,NA,NA,NA,NA,NA,NA,1613,1613 _ 2004
2002,1,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,1361,1361 _ 2002
2003,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,1361,1361 _ 2003
2002,1,picnic_lower,lac,NA,NA,NA,NA,2705.429774,3623.882662,6,1030,1030 _ 2002
2003,1,picnic_lower,lac,NA,NA,NA,NA,2483.656788,3602.089116,11,1030,1030 _ 2003
2004,1,picnic_lower,wean,3,NA,NA,NA,2734.229307,3263.588955,6,1030,1030 _ 2004
2005,1,picnic_upper,no,NA,NA,NA,NA,2654.6128,3900.129474,3,1030,1030 _ 2005
2006,1,picnic_upper,wean,3,NA,NA,NA,3017.935887,3229.137337,12,1030,1030 _ 2006
2007,1,picnic_upper,no,NA,NA,NA,NA,2883.607439,4232.433855,3,1030,1030 _ 2007
2008,0,picnic_upper,wean,2,NA,NA,NA,2529.917377,3360.271144,2,1030,1030 _ 2008
2002,1,picnic_lower,wean,5,NA,NA,NA,2857.081385,3420.356606,5,1746,1746 _ 2002
2003,1,picnic_lower,preg,NA,NA,NA,NA,2810.543218,3954.678543,4,1746,1746 _ 2003
2004,1,picnic_lower,wean,7,NA,NA,NA,3143.815192,3630.120043,5,1746,1746 _ 2004
2005,1,picnic_lower,preg,NA,NA,NA,NA,2796.9674,3840.109912,2,1746,1746 _ 2005
2006,1,picnic_lower,wean,6,NA,NA,NA,3078.586456,3230.669935,6,1746,1746 _ 2006
2007,1,picnic_lower,wean,1,NA,NA,NA,3023.452515,4144.81235,2,1746,1746 _ 2007
2008,0,picnic_lower,lac,NA,NA,NA,NA,2799.689744,4275.117112,3,1746,1746 _ 2008
2002,1,bench,NA,NA,NA,NA,NA,369.2510864,1827.053662,7,1612,1612 _ 2002
2003,0,bench,no,NA,NA,1,NA,1757.718602,3917.544408,6,1612,1612 _ 2003
2002,1,mm,sire,7,NA,NA,NA,3414.448852,4839.791635,2,1238,1238 _ 2002
2003,1,mm,sire,17,NA,NA,NA,3371.555286,4806.601186,4,1238,1238 _ 2003
2004,1,mm,sire,6,NA,NA,NA,3778.625977,5095.559751,2,1238,1238 _ 2004
2005,0,mm,NA,NA,NA,NA,NA,NA,NA,NA,1238,1238 _ 2005
2002,1,mm,wean,7,NA,NA,NA,2925.080271,3706.381207,10,1989,1989 _ 2002
2003,1,mm,wean,8,NA,NA,NA,2758.379038,3895.892077,14,1989,1989 _ 2003
2004,1,mm,wean,3,NA,NA,NA,3088.073697,3961.403542,7,1989,1989 _ 2004
2005,1,mm,preg,NA,NA,NA,NA,2706.778653,3899.571336,2,1989,1989 _ 2005
2006,1,mm,wean,6,NA,NA,NA,2960.740841,3537.312564,5,1989,1989 _ 2006
2007,1,mm,NA,NA,NA,NA,NA,NA,NA,NA,1989,1989 _ 2007
2008,0,mm,NA,NA,NA,NA,NA,NA,NA,NA,1989,1989 _ 2008
2002,1,picnic_lower,wean,5,NA,NA,NA,2689.463243,3049.609282,14,1477,1477 _ 2002
2003,1,picnic_lower,wean,4,NA,NA,NA,2636.366491,3249.509944,11,1477,1477 _ 2003
2004,1,picnic_lower,wean,5,NA,NA,NA,2707.362318,3183.604532,11,1477,1477 _ 2004
2005,1,picnic_lower,preg,NA,NA,NA,NA,2460.145297,3477.242663,4,1477,1477 _ 2005
2006,0,picnic_lower,wean,4,NA,NA,NA,2828.386779,3168.955419,5,1477,1477 _ 2006
2002,0,picnic_lower,NA,NA,NA,NA,NA,478.1766318,1493.957703,2,396,396 _ 2002
2002,0,picnic_upper,lac,NA,NA,NA,NA,2693.988658,3372.11283,2,1638,1638 _ 2002
2002,1,river,sire,22,NA,NA,NA,3782.813575,5576.435447,14,279,279 _ 2002
2003,1,river,sire,19,NA,NA,NA,3618.522136,4970.490213,14,279,279 _ 2003
2004,1,river,sire,44,NA,NA,NA,4138.379795,5194.451367,9,279,279 _ 2004
2005,1,river,sire,17,NA,NA,NA,3830.863471,5326.853646,8,279,279 _ 2005
2006,1,river,sire,22,NA,NA,NA,3779.776754,5236.834113,7,279,279 _ 2006
2007,0,river,sire,7,NA,NA,NA,3953.176908,5263.964459,5,279,279 _ 2007
2002,1,gothictown,wean,6,NA,NA,NA,3078.888604,4082.168792,2,564,564 _ 2002
2003,1,gothictown,wean,8,NA,NA,NA,3027.898422,4172.584231,4,564,564 _ 2003
2004,1,gothictown,wean,8,NA,NA,NA,3441.319681,4349.693055,3,564,564 _ 2004
2005,1,gothictown,preg,NA,NA,NA,NA,3074.574121,4001.867957,1,564,564 _ 2005
2006,1,gothictown,wean,9,NA,NA,NA,2709.890675,4483.709865,2,564,564 _ 2006
2007,0,gothictown,no,NA,NA,NA,NA,2772.425687,3831.731172,1,564,564 _ 2007
2002,1,cliff,wean,5,NA,NA,NA,2715.145763,3243.92311,6,1179,1179 _ 2002
2003,1,cliff,wean,5,NA,NA,NA,2706.272646,3417.728049,11,1179,1179 _ 2003
2004,1,cliff,preg,NA,NA,NA,NA,3027.989425,3747.542905,2,1179,1179 _ 2004
2005,1,cliff,lac,NA,NA,NA,NA,2768.631164,4086.411206,1,1179,1179 _ 2005
