year,yr_surv,col_area,rs,nboffspring,sum_surv,yrlg_disp,death_type,massjun,massaug,nb_mass,uid,uid.year
2006,0,cliff,NA,NA,NA,NA,NA,NA,NA,NA,1179,1179 _ 2006
2002,0,northpk,preg,NA,NA,NA,NA,2647.50061,3335.808243,1,1267,1267 _ 2002
2002,0,bellview,lac,NA,NA,NA,NA,2877.265881,5145.932492,1,132,132 _ 2002
2002,1,boulder,wean,4,NA,NA,NA,2812.329184,3256.805945,8,27,27 _ 2002
2003,1,boulder,preg,NA,NA,NA,NA,2499.642195,4090.972719,8,27,27 _ 2003
2004,1,boulder,wean,7,NA,NA,NA,2925.471817,3408.468048,4,27,27 _ 2004
2005,1,boulder,wean,4,NA,NA,NA,2710.265978,3720.079152,1,27,27 _ 2005
2006,0,boulder,wean,7,NA,NA,NA,3058.986233,3230.74449,9,27,27 _ 2006
2002,1,beavertalus,no,NA,NA,NA,NA,3463.606727,5708.511017,3,262,262 _ 2002
2003,1,beavertalus,NA,NA,NA,NA,NA,NA,NA,NA,262,262 _ 2003
2004,1,mm,sire,3,NA,NA,NA,4119.002841,6164.864929,3,262,262 _ 2004
2005,0,mm,sire,4,NA,NA,NA,NA,NA,NA,262,262 _ 2005
2002,0,boulder,sire,11,NA,NA,NA,2977.407274,4771.383326,2,57,57 _ 2002
2002,0,bellview,NA,NA,NA,NA,NA,693.8293622,1882.6347,1,912,912 _ 2002
2002,1,river,wean,6,NA,NA,NA,2581.764055,3566.418498,12,1387,1387 _ 2002
2003,1,river,preg,NA,NA,NA,NA,2659.170349,3770.079038,1,1387,1387 _ 2003
2004,1,river,wean,6,NA,NA,NA,3038.105347,3609.104472,8,1387,1387 _ 2004
2005,1,river,wean,5,NA,NA,NA,2977.135831,3780.445901,3,1387,1387 _ 2005
2006,0,river,wean,4,NA,NA,NA,3311.789244,3767.014817,8,1387,1387 _ 2006
2012,1,avalanche,no,NA,NA,NA,NA,385.4818388,1973.413111,8,1941,1941 _ 2012
2013,0,avalanche,no,NA,NA,NA,NA,1556.527406,3327.403129,9,1941,1941 _ 2013
2002,1,cliff,NA,NA,NA,NA,NA,586.8244393,1544.98295,5,1899,1899 _ 2002
2003,1,cliff,no,NA,NA,0,NA,1338.093855,3246.31366,3,1899,1899 _ 2003
2004,0,cliff,wean,1,NA,NA,NA,2173.95175,3198.374351,1,1899,1899 _ 2004
2002,1,mm,preg,NA,NA,NA,NA,2280.10374,3735.329682,1,487,487 _ 2002
2004,0,averycampground,wean,3,NA,NA,NA,2694.552446,3355.92456,1,487,487 _ 2004
2002,1,cliff,NA,NA,NA,NA,NA,635.464449,1670.222402,1,798,798 _ 2002
2003,0,cliff,no,NA,NA,NA,NA,1504.026117,3532.993891,2,798,798 _ 2003
2002,1,mm,NA,NA,NA,NA,NA,620.5678903,1370.166239,5,1964,1964 _ 2002
2003,1,mm,no,NA,NA,1,NA,1643.041859,3887.772072,2,1964,1964 _ 2003
2004,0,mm_aspen,NA,NA,NA,NA,NA,NA,NA,NA,1964,1964 _ 2004
2002,1,bench,NA,NA,NA,NA,NA,351.8263574,1647.278475,3,1884,1884 _ 2002
2003,1,bench,no,NA,NA,1,NA,1617.257958,3071.284862,2,1884,1884 _ 2003
2004,1,river_rivermound,wean,6,NA,NA,NA,2278.243962,2792.711293,2,1884,1884 _ 2004
2005,1,river,wean,5,NA,NA,NA,2371.743873,2976.630191,3,1884,1884 _ 2005
2006,0,river_rivermound,NA,NA,NA,NA,NA,NA,NA,NA,1884,1884 _ 2006
2002,0,boulder,NA,NA,NA,NA,NA,327.118527,1437.665548,2,1984,1984 _ 2002
2002,1,mm,NA,NA,NA,NA,NA,568.1973196,1304.899459,5,34,34 _ 2002
2003,0,mm,no,NA,NA,1,NA,1525.882612,3651.217268,2,34,34 _ 2003
2002,1,mm,NA,NA,NA,NA,NA,421.0326412,905.4947759,4,1008,1008 _ 2002
2003,0,mm,no,NA,NA,0,NA,1311.366811,3135.693464,12,1008,1008 _ 2003
2003,1,gothictown,no,NA,NA,NA,NA,2615.106913,3464.905709,1,586,586 _ 2003
2004,1,gothictown,wean,3,NA,NA,NA,2748.367054,3404.27557,3,586,586 _ 2004
2005,1,gothictown,wean,3,NA,NA,NA,2652.991839,3357.724617,2,586,586 _ 2005
2006,0,gothictown,NA,NA,NA,NA,NA,NA,NA,NA,586,586 _ 2006
2002,0,picnic_middle,NA,NA,NA,NA,NA,413.5090096,1475.886757,3,1697,1697 _ 2002
2002,0,bellview,no,NA,NA,NA,NA,2464.735381,4027.968013,1,1880,1880 _ 2002
2002,1,gothictown,sire,6,NA,NA,NA,3285.604341,4236.346925,1,149,149 _ 2002
2003,1,gothictown,sire,8,NA,NA,NA,3234.543082,4478.621394,2,149,149 _ 2003
2004,1,gothictown,sire,17,NA,NA,NA,NA,NA,NA,149,149 _ 2004
2005,0,gothictown,sire,3,NA,NA,NA,NA,NA,NA,149,149 _ 2005
2002,0,bellview,wean,1,NA,NA,NA,2347.596516,3729.196276,1,306,306 _ 2002
2002,1,mm,NA,NA,NA,NA,NA,501.7919096,988.5555431,6,545,545 _ 2002
2003,0,mm,no,NA,NA,1,NA,1520.368244,3474.006077,5,545,545 _ 2003
2002,1,picnic_lower,NA,NA,NA,NA,NA,249.3698332,1138.744899,4,1126,1126 _ 2002
2003,1,picnic_lower,no,NA,NA,0,NA,1141.439351,3334.398926,18,1126,1126 _ 2003
2004,1,picnic_lower,no,NA,NA,NA,NA,2205.288161,4178.161484,9,1126,1126 _ 2004
2005,1,picnic_lower,wean,4,NA,NA,NA,2366.922587,3089.36631,15,1126,1126 _ 2005
2006,1,picnic_lower,wean,6,NA,NA,NA,2656.363415,3119.008533,6,1126,1126 _ 2006
2007,1,picnic_lower,preg,NA,NA,NA,NA,2734.232487,4103.059468,8,1126,1126 _ 2007
2008,0,picnic_lower,wean,6,NA,NA,NA,2520.242139,3807.60947,3,1126,1126 _ 2008
2002,1,mm,NA,NA,NA,NA,NA,497.2635362,1129.912754,4,1022,1022 _ 2002
2003,1,mm,no,NA,NA,0,NA,1294.060589,2994.259381,6,1022,1022 _ 2003
2004,0,mm_aspen,NA,NA,NA,NA,NA,NA,NA,NA,1022,1022 _ 2004
2002,1,mm,no,NA,NA,NA,NA,2055.966989,3536.873098,3,1245,1245 _ 2002
2003,1,mm,wean,4,NA,NA,NA,2310.110141,2760.221583,11,1245,1245 _ 2003
2004,1,mm,wean,6,NA,NA,NA,2504.880559,3171.237281,5,1245,1245 _ 2004
2005,1,mm,no,NA,NA,NA,NA,2343.744924,3578.114793,1,1245,1245 _ 2005
2006,1,mm,wean,3,NA,NA,NA,2550.763857,2841.64397,3,1245,1245 _ 2006
2007,1,mm,wean,6,NA,NA,NA,2637.731126,3401.803708,3,1245,1245 _ 2007
2008,0,mm,wean,6,NA,NA,NA,2346.072866,3484.474057,3,1245,1245 _ 2008
2002,1,picnic_middle,NA,NA,NA,NA,NA,524.594857,1659.527511,3,548,548 _ 2002
2003,1,picnic_upper,no,NA,NA,1,NA,1085.736239,3089.860306,8,548,548 _ 2003
2004,1,picnic_upper,wean,4,NA,NA,NA,1941.502396,2767.189369,8,548,548 _ 2004
2005,1,picnic,wean,4,NA,NA,NA,2160.658913,2967.905036,7,548,548 _ 2005
2006,0,picnic_lower,wean,1,NA,NA,NA,2482.008121,3038.030864,5,548,548 _ 2006
2002,1,picnic_lower,NA,NA,NA,NA,NA,224.0275738,1171.860101,2,42,42 _ 2002
2003,1,picnic_lower,no,NA,NA,0,NA,1218.447157,3816.333613,19,42,42 _ 2003
2005,1,picnic_upper,no,NA,NA,NA,NA,3354.568422,5639.653324,1,42,42 _ 2005
2006,1,northpk,sire,3,NA,NA,NA,NA,NA,NA,42,42 _ 2006
2007,0,boulder,NA,NA,NA,NA,NA,NA,NA,NA,42,42 _ 2007
2002,0,bellview,sire,1,NA,NA,NA,2650.534219,3863.914716,1,942,942 _ 2002
2002,1,picnic_lower,NA,NA,NA,NA,NA,230.2633614,1118.709092,1,1659,1659 _ 2002
2003,1,picnic_lower,no,NA,NA,0,NA,1382.801519,3688.853625,14,1659,1659 _ 2003
2004,1,picnic_lower,wean,4,NA,NA,NA,2431.003401,3426.557337,7,1659,1659 _ 2004
2005,1,mm,NA,NA,NA,NA,NA,NA,NA,NA,1659,1659 _ 2005
2006,0,mm,NA,NA,NA,NA,NA,NA,NA,NA,1659,1659 _ 2006
2002,1,stonefield,NA,NA,NA,NA,NA,342.6628634,1076.127317,4,1114,1114 _ 2002
2003,1,stonefield,no,NA,NA,0,NA,1360.346772,3306.665034,5,1114,1114 _ 2003
2004,1,stonefield,lac,NA,NA,NA,NA,2309.324619,3900.707155,3,1114,1114 _ 2004
2005,1,stonefield,no,NA,NA,NA,NA,2578.799865,3813.19424,1,1114,1114 _ 2005
2006,1,stonefield,wean,6,NA,NA,NA,2927.994231,3545.866132,2,1114,1114 _ 2006
2007,1,stonefield,wean,5,NA,NA,NA,2852.954965,3612.451849,4,1114,1114 _ 2007
2008,0,stonefield,wean,1,NA,NA,NA,2689.772446,4064.844504,1,1114,1114 _ 2008
2002,1,river,NA,NA,NA,NA,NA,373.6209259,1853.338762,6,824,824 _ 2002
2003,1,river,no,NA,NA,1,NA,1671.228169,3878.595325,10,824,824 _ 2003
2004,0,river_southmound,NA,NA,NA,NA,NA,NA,NA,NA,824,824 _ 2004
2002,1,river,NA,NA,NA,NA,NA,604.117578,2064.29772,7,1258,1258 _ 2002
2003,0,river,no,NA,NA,1,NA,NA,NA,NA,1258,1258 _ 2003
2002,1,boulder,NA,NA,NA,NA,NA,317.8482918,1308.524284,2,348,348 _ 2002
2003,0,boulder,no,NA,NA,NA,NA,1352.299196,3295.084148,9,348,348 _ 2003
2002,1,river,NA,NA,NA,NA,NA,603.8958887,2352.665894,10,392,392 _ 2002
2003,0,river,no,NA,NA,1,NA,1959.529748,3563.597855,9,392,392 _ 2003
2002,1,stonefield,no,NA,NA,NA,NA,2168.672827,3202.621049,2,821,821 _ 2002
2003,0,stonefield,NA,NA,NA,NA,NA,NA,NA,NA,821,821 _ 2003
2002,0,picnic_middle,NA,NA,NA,NA,NA,645.8774762,1761.006663,1,1191,1191 _ 2002
2002,1,river,NA,NA,NA,NA,NA,609.6795383,2252.775539,5,1863,1863 _ 2002
2003,0,river,NA,NA,NA,1,NA,NA,NA,NA,1863,1863 _ 2003
2002,0,boulder,no,NA,NA,NA,NA,2591.831785,4201.382347,4,1012,1012 _ 2002
2002,0,stonefield,no,NA,NA,NA,NA,1465.444879,3046.111358,1,126,126 _ 2002
2002,1,stonefield,no,NA,NA,NA,NA,1289.874004,2918.436579,3,1474,1474 _ 2002
2003,1,stonefield,no,NA,NA,NA,NA,2271.633251,3625.27271,2,1474,1474 _ 2003
2004,0,stonefield,wean,5,NA,NA,NA,2440.317798,3039.307419,2,1474,1474 _ 2004
2002,1,river,wean,5,NA,NA,NA,3211.78059,4024.972423,1,1276,1276 _ 2002
2003,1,river,wean,4,NA,NA,NA,NA,NA,NA,1276,1276 _ 2003
2004,1,river,wean,4,NA,NA,NA,3371.686526,4119.317016,2,1276,1276 _ 2004
2005,1,river,wean,3,NA,NA,NA,3047.415391,4309.886876,1,1276,1276 _ 2005
2006,1,river,wean,1,NA,NA,NA,3278.64455,3974.567565,2,1276,1276 _ 2006
2007,1,river,wean,3,NA,NA,NA,3250.8571,4180.392286,1,1276,1276 _ 2007
2008,1,river,wean,6,NA,NA,NA,2903.42562,4072.301066,2,1276,1276 _ 2008
2009,1,river,wean,4,NA,NA,NA,2995.901517,4055.768007,1,1276,1276 _ 2009
2010,0,river_sprucemound,NA,NA,NA,NA,NA,NA,NA,NA,1276,1276 _ 2010
2002,1,picnic_lower,no,NA,NA,NA,NA,1422.30122,3208.538601,7,31,31 _ 2002
2003,1,picnic_upper,wean,1,NA,NA,NA,2422.990426,3218.553579,13,31,31 _ 2003
2004,1,picnic_upper,wean,4,NA,NA,NA,2673.413516,3049.005022,12,31,31 _ 2004
2005,1,picnic,wean,1,NA,NA,NA,2562.539455,3425.919987,3,31,31 _ 2005
2006,1,picnic_upper,wean,3,NA,NA,NA,2928.816152,3286.033801,7,31,31 _ 2006
2007,0,picnic_upper,preg,NA,NA,NA,NA,2856.590988,3845.180609,2,31,31 _ 2007
2002,0,picnic_upper,no,NA,NA,NA,NA,3406.138104,4850.705079,3,1432,1432 _ 2002
2002,1,boulder,NA,NA,NA,NA,NA,286.0089046,1336.26957,3,1819,1819 _ 2002
2003,1,boulder,no,NA,NA,0,NA,1303.054361,3327.486211,4,1819,1819 _ 2003
2005,0,mm,scro,NA,NA,NA,NA,3269.709843,4878.885549,3,1819,1819 _ 2005
2002,1,boulder,NA,NA,NA,NA,NA,291.6811823,1241.567986,2,927,927 _ 2002
2003,0,boulder,no,NA,NA,NA,NA,1090.324748,2916.78592,9,927,927 _ 2003
2002,1,picnic_middle,wean,8,NA,NA,NA,2225.662039,3303.95435,4,1898,1898 _ 2002
2003,1,picnic_middle,lac,NA,NA,NA,NA,2264.399837,3070.286906,2,1898,1898 _ 2003
2004,1,picnic,wean,3,NA,NA,NA,2469.705487,3071.441392,3,1898,1898 _ 2004
2005,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,1898,1898 _ 2005
2002,1,picnic_lower,no,NA,NA,NA,NA,2122.783215,3904.73441,4,964,964 _ 2002
2003,1,picnic_upper,sire,1,NA,NA,NA,2494.211565,4177.61907,9,964,964 _ 2003
2004,1,picnic_upper,sire,5,NA,NA,NA,2978.414047,4288.581291,5,964,964 _ 2004
2005,0,picnic_upper,sire,1,NA,NA,NA,2275.221366,4341.782181,3,964,964 _ 2005
2002,1,stonefield,no,NA,NA,NA,NA,2417.137964,3282.917884,4,253,253 _ 2002
2003,1,stonefield,wean,1,NA,NA,NA,2379.584425,3256.798154,2,253,253 _ 2003
2004,0,stonefield,wean,5,NA,NA,NA,2633.202848,3211.348204,2,253,253 _ 2004
2002,0,picnic_lower,no,NA,NA,NA,NA,1440.682904,2953.05216,2,685,685 _ 2002
2002,1,stonefield,no,NA,NA,NA,NA,2191.965794,2771.916841,2,615,615 _ 2002
2003,1,stonefield,preg,NA,NA,NA,NA,2166.320356,2947.738738,1,615,615 _ 2003
2006,1,northpk,wean,3,NA,NA,NA,2507.586457,3145.583338,1,615,615 _ 2006
2007,1,northpk,wean,4,NA,NA,NA,2562.601424,3280.055045,3,615,615 _ 2007
2008,0,northpk,preg,NA,NA,NA,NA,2140.562317,2870.80077,2,615,615 _ 2008
2002,0,boulder,wean,7,NA,NA,NA,2400.454871,3151.723843,7,559,559 _ 2002
2002,1,river,NA,NA,NA,NA,NA,578.9236539,2249.576823,13,394,394 _ 2002
2003,1,river,no,NA,NA,0,NA,1865.931057,4178.723866,8,394,394 _ 2003
2004,0,river_southmound,NA,NA,NA,NA,NA,NA,NA,NA,394,394 _ 2004
2002,1,stonefield,NA,NA,NA,NA,NA,381.1094997,1303.094262,6,1487,1487 _ 2002
2003,0,stonefield,no,NA,NA,NA,NA,1356.816973,3336.315288,3,1487,1487 _ 2003
2002,1,river,NA,NA,NA,NA,NA,392.2035248,1824.424909,9,1647,1647 _ 2002
2003,0,river,no,NA,NA,1,NA,1611.35408,3218.196704,10,1647,1647 _ 2003
2002,1,river,NA,NA,NA,NA,NA,331.0190343,1524.072053,6,123,123 _ 2002
2003,1,river,no,NA,NA,1,NA,1076.51743,2747.685795,5,123,123 _ 2003
2004,0,river_southmound,NA,NA,NA,NA,NA,NA,NA,NA,123,123 _ 2004
2002,1,picnic_lower,lac,NA,NA,NA,NA,2430.270631,4105.328928,6,388,388 _ 2002
2003,1,picnic_lower,wean,5,NA,NA,NA,2513.259905,3230.420037,9,388,388 _ 2003
2004,1,picnic_lower,wean,4,NA,NA,NA,2664.179763,3165.815941,8,388,388 _ 2004
2005,1,picnic_upper,no,NA,NA,NA,NA,2538.168855,3697.763795,5,388,388 _ 2005
2006,1,picnic_upper,wean,5,NA,NA,NA,2971.765262,3348.442079,5,388,388 _ 2006
2007,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,388,388 _ 2007
2002,0,stonefield,no,NA,NA,NA,NA,1226.812091,2771.182503,1,1980,1980 _ 2002
2002,1,mm,NA,NA,NA,NA,NA,493.1586779,1088.823162,3,1375,1375 _ 2002
2003,0,mm,no,NA,NA,0,NA,1215.37274,3048.058839,2,1375,1375 _ 2003
2002,1,picnic_upper,no,NA,NA,NA,NA,2178.751424,3429.965421,1,671,671 _ 2002
2003,0,boulder,no,NA,NA,NA,NA,2579.136801,3991.932489,4,671,671 _ 2003
2002,1,picnic_lower,sire,5,NA,NA,NA,3352.402774,5133.030072,3,356,356 _ 2002
2003,1,picnic_lower,sire,5,NA,NA,NA,NA,NA,NA,356,356 _ 2003
2004,1,picnic_lower,sire,14,NA,NA,NA,3545.084836,5004.390277,2,356,356 _ 2004
2005,1,picnic_lower,sire,19,NA,NA,NA,3279.970842,5130.416637,3,356,356 _ 2005
2006,0,picnic_lower,sire,27,NA,NA,NA,4411.690387,5674.571045,1,356,356 _ 2006
2002,0,boulder,NA,NA,NA,NA,NA,286.9690525,1335.201652,3,976,976 _ 2002
2002,1,picnic_middle,sire,11,NA,NA,NA,3228.171107,4954.859668,2,1313,1313 _ 2002
2003,1,picnic_middle,scro,NA,NA,NA,NA,2804.383791,4524.467563,3,1313,1313 _ 2003
2004,1,picnic,sire,11,NA,NA,NA,3556.090831,4971.83727,4,1313,1313 _ 2004
2005,1,picnic,sire,7,NA,NA,NA,3365.70125,5094.2776,3,1313,1313 _ 2005
2006,1,picnic_upper,sire,7,NA,NA,NA,4110.156387,5503.481111,1,1313,1313 _ 2006
2007,0,picnic,sire,6,NA,NA,NA,3915.222327,5476.02315,3,1313,1313 _ 2007
2002,1,river,wean,3,NA,NA,NA,3153.009141,4116.894574,5,1436,1436 _ 2002
2003,1,river,wean,6,NA,NA,NA,3135.091331,4121.67123,3,1436,1436 _ 2003
2004,1,river,wean,4,NA,NA,NA,3301.483735,3954.466102,5,1436,1436 _ 2004
2005,1,river,wean,4,NA,NA,NA,3143.040174,3663.626721,3,1436,1436 _ 2005
2006,1,river,wean,4,NA,NA,NA,3524.93596,3967.42003,3,1436,1436 _ 2006
2007,1,river,wean,4,NA,NA,NA,3298.153457,4351.28184,1,1436,1436 _ 2007
2008,1,river,wean,4,NA,NA,NA,2883.435671,3931.657704,3,1436,1436 _ 2008
2009,0,river,preg,NA,NA,NA,NA,3044.706323,4063.94823,1,1436,1436 _ 2009
2002,1,picnic_lower,sire,21,NA,NA,NA,3423.828119,5558.766701,5,1838,1838 _ 2002
2003,0,picnic_lower,sire,10,NA,NA,NA,3391.077378,5390.495003,7,1838,1838 _ 2003
2002,1,mm,NA,NA,NA,NA,NA,652.1585847,1415.205489,4,245,245 _ 2002
2003,1,mm,no,NA,NA,1,NA,1499.865094,3688.376872,3,245,245 _ 2003
2004,0,mm_aspen,NA,NA,NA,NA,NA,NA,NA,NA,245,245 _ 2004
2002,0,boulder,NA,NA,NA,NA,NA,328.3060334,1329.400773,2,864,864 _ 2002
2002,0,picnic_middle,NA,NA,NA,NA,NA,286.9872665,1402.633898,3,1299,1299 _ 2002
2002,1,picnic_lower,NA,NA,NA,NA,NA,260.2314645,995.684298,8,893,893 _ 2002
2003,1,picnic_lower,no,NA,NA,0,NA,1076.729947,3167.241001,16,893,893 _ 2003
2004,1,picnic_lower,no,NA,NA,NA,NA,2377.299437,4138.571538,8,893,893 _ 2004
2005,1,picnic_lower,lac,NA,NA,NA,NA,2414.382572,3321.639542,7,893,893 _ 2005
2006,1,picnic,wean,4,NA,NA,NA,2751.602795,3147.04482,8,893,893 _ 2006
2007,1,picnic_upper,preg,NA,NA,NA,NA,2904.038812,4423.057905,5,893,893 _ 2007
2008,1,picnic_upper,no,NA,NA,NA,NA,NA,NA,NA,893,893 _ 2008
2009,1,picnic_upper,lac,NA,NA,NA,NA,2792.212755,3476.751331,3,893,893 _ 2009
2010,1,picnic_lower,wean,1,NA,NA,NA,2938.966686,3575.861659,6,893,893 _ 2010
2011,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,893,893 _ 2011
2002,1,mm,lac,NA,NA,NA,NA,2541.87494,4662.873845,7,29,29 _ 2002
2003,0,mm,wean,5,NA,NA,NA,2538.885556,3336.41169,8,29,29 _ 2003
2002,1,stonefield,NA,NA,NA,NA,NA,426.5885665,1267.383834,4,925,925 _ 2002
2003,1,stonefield,no,NA,NA,0,NA,1359.565514,3274.685576,3,925,925 _ 2003
2004,0,stonefield_south,NA,NA,NA,NA,NA,NA,NA,NA,925,925 _ 2004
2002,1,stonefield,NA,NA,NA,NA,NA,380.7825484,1264.998007,5,752,752 _ 2002
2003,1,stonefield,no,NA,NA,0,NA,1499.501657,3461.747428,4,752,752 _ 2003
2004,0,picnic_lower,no,NA,NA,NA,NA,2345.858539,4682.303047,4,752,752 _ 2004
2002,1,river,NA,NA,NA,NA,NA,776.249555,1825.694088,5,1249,1249 _ 2002
2003,1,river,no,NA,NA,1,NA,1547.410844,3125.59651,14,1249,1249 _ 2003
2004,1,river,wean,3,NA,NA,NA,2426.509727,3344.317061,17,1249,1249 _ 2004
2005,0,river,lac,NA,NA,NA,NA,2661.913294,3528.709087,9,1249,1249 _ 2005
