colony_year,pup_sex,pup_yrborn,pup_col_area,pup_emerjdate,aug15_emerge,pup_littersizeborn,indegree,outdegree,betweenness,outcloseness,incloseness,local_clustering,neg_ave_shortest_path,ave_shortest_path,eigenv,outstrength,instrength,valley,pup_summer_surv,pup_year_surv,yearly_pred_index,overall_pred_index,pup_massjun,pup_massaug,mass_gain,mass_gain.day,mother_age,cluster,groupID,year,group_size,network_size,mother_uid,pup_uid,mother_year
river_2002,M,2002,river,175,52,5,0.2,0.066666667,0.007841354,0.260869565,0.291262136,0.285714286,-2.982222222,2.982222222,0.122266961,2,23,dv,1,1,low,high,603.8958887,2352.665894,1748.770005,33.63019241,10,5,14_br_5,2002,11,14,27,120,27 _ 2002
river_2002,M,2002,river,175,52,5,0.2,0.066666667,0.007841354,0.260869565,0.291262136,0.285714286,-2.982222222,2.982222222,0.122266961,2,23,dv,1,1,low,high,581.0688686,2114.208853,1533.139984,29.48346124,10,5,14_br_5,2002,11,14,27,336,27 _ 2002
river_2002,F,2002,river,175,52,5,0.2,0.066666667,0.007841354,0.260869565,0.291262136,0.285714286,-2.982222222,2.982222222,0.122266961,2,23,dv,1,1,low,high,331.0190343,1524.072053,1193.053019,22.94332728,10,5,14_br_5,2002,11,14,27,475,27 _ 2002
river_2002,M,2002,river,175,52,5,0.2,0.066666667,0.007841354,0.260869565,0.291262136,0.285714286,-2.982222222,2.982222222,0.122266961,2,23,dv,1,1,low,high,578.9236539,2249.576823,1670.653169,32.12794556,10,5,14_br_5,2002,11,14,27,534,27 _ 2002
river_2002,M,2002,river,175,52,5,0.2,0.066666667,0.007841354,0.260869565,0.291262136,0.285714286,-2.982222222,2.982222222,0.122266961,2,23,dv,1,1,low,high,683.544012,2471.77612,1788.232108,34.389079,10,5,14_br_5,2002,11,14,27,563,27 _ 2002
river_2003,F,2003,river,181,46,2,0.285714286,0.095238095,0.066675563,0.181034483,0.177966102,0.535714286,-2.501529052,2.501529052,0.340199354,2,8,dv,1,1,low,low,669.2570651,1821.564688,1152.307623,25.05016572,11,5,14_br_5,2003,8,27,27,394,27 _ 2003
river_2003,F,2003,river,181,46,2,0.285714286,0.095238095,0.066675563,0.181034483,0.177966102,0.535714286,-2.501529052,2.501529052,0.340199354,2,8,dv,1,1,low,low,712.7939398,1845.066032,1132.272092,24.6146107,11,5,14_br_5,2003,8,27,27,277,27 _ 2003
river_2004,M,2004,river,NA,NA,3,0.066666667,0.066666667,0.022429854,0.111111111,0.071884984,0.266666667,-3.681950509,3.681950509,0.146725078,5,9,dv,1,1,high,low,460.0397959,1422.295117,962.2553211,NA,12,10,14_br_10,2004,1,27,27,900,27 _ 2004
river_2004,F,2004,river,181,46,3,0.066666667,0.066666667,0.022429854,0.111111111,0.071884984,0.266666667,-3.681950509,3.681950509,0.146725078,5,9,dv,1,1,high,low,260.6297436,1156.989182,896.3594384,19.48607475,12,10,14_br_10,2004,1,27,27,636,27 _ 2004
river_2004,M,2004,river,181,46,3,0.066666667,0.066666667,0.022429854,0.111111111,0.071884984,0.266666667,-3.681950509,3.681950509,0.146725078,5,9,dv,1,1,high,low,438.33724,1741.532103,1303.194863,28.33032311,12,10,14_br_10,2004,1,27,27,173,27 _ 2004
picnic_2004,F,2004,picnic,180,47,3,0.023809524,0.023809524,0,0.026233604,0.02625,0,-3.664136622,3.664136622,1.00E-16,1,2,uv,0,0,high,high,332.5400854,1388.324216,1055.784131,22.46349214,NA,35,14_pc_35,2004,2,33,57,898,57 _ 2004
picnic_2004,F,2004,picnic,180,47,3,0.023809524,0.023809524,0,0.026233604,0.02625,0,-3.664136622,3.664136622,1.00E-16,1,2,uv,1,1,high,high,341.8993892,1367.110025,1025.210636,21.81299225,NA,35,14_pc_35,2004,2,33,57,879,57 _ 2004
picnic_2004,M,2004,picnic,NA,NA,3,0.023809524,0.023809524,0,0.026233604,0.02625,0,-3.664136622,3.664136622,1.00E-16,1,2,uv,1,1,high,high,431.2436046,1361.437347,930.1937424,NA,NA,35,14_pc_35,2004,2,33,57,333,57 _ 2004
picnic_2006,M,2006,picnic,195,32,3,0.02,0.04,0,0.084317032,0.020815987,0.333333333,-2.857384442,2.857384442,0.001902416,4,3,uv,1,0,high,high,442.7273766,1021.419262,578.6918854,18.08412142,NA,68,14_pc_68,2006,3,44,57,213,57 _ 2006
