colony_year,pup_sex,pup_yrborn,pup_col_area,pup_emerjdate,aug15_emergence,pup_littersizeborn,indegree,outdegree,betweenness,outcloseness,incloseness,local_clustering,neg_ave_shortest_path,ave_shortest_path,eigenv,outstrength,instrength,valley,pup_summer_surv,pup_year_surv,yearly.pred.index,overall.index,pup_massjun,pup_massaug,mass_gain,mass_gain.day,mother_age,cluster,groupID,year,group_size,network_size,mother_uid,pup_uid,mother_year
picnic_2004,M,2004,picnic,NA,NA,3,0.04,0.04,0,0.047169811,0.047258979,0,-3.261764706,3.261764706,0,1,2,uv,1,1,high,high,431.2436046,1361.437347,930.1937424,NA,NA,35,14_pc_35,2004,2,33,9,655,9 _ 2004
picnic_2006,M,2006,picnic,195,32,3,0.02173913,0.043478261,0,0.092555332,0.022211492,0.333333333,-2.710543549,2.710543549,0.001901552,4,3,uv,1,1,high,high,393.564829,939.2185015,545.6536725,17.05167727,NA,68,14_pc_68,2006,3,44,9,961,9 _ 2006
picnic_2006,M,2006,picnic,195,32,3,0.02173913,0.043478261,0,0.092555332,0.022211492,0.333333333,-2.710543549,2.710543549,0.001901552,4,3,uv,1,0,high,high,442.7273766,1021.419262,578.6918854,18.08412142,NA,68,14_pc_68,2006,3,44,9,821,9 _ 2006
picnic_2006,M,2006,picnic,195,32,3,0.02173913,0.043478261,0,0.092555332,0.022211492,0.333333333,-2.710543549,2.710543549,0.001901552,4,3,uv,1,1,high,high,451.8637763,1098.607786,646.7440097,20.2107503,NA,68,14_pc_68,2006,3,44,9,1045,9 _ 2006
picnic_2002,F,2002,picnic,179,48,5,0.307692308,0.230769231,0.053578611,0.216666667,0.220338983,0.238095238,-1.892857143,1.892857143,0.318230383,3,5,uv,1,1,low,high,390.3344006,1462.02035,1071.685949,22.32679061,3,24,14_pc_24,2002,4,20,85,970,85 _ 2002
picnic_2002,M,2002,picnic,179,48,5,0.307692308,0.230769231,0.053578611,0.216666667,0.220338983,0.238095238,-1.892857143,1.892857143,0.318230383,3,5,uv,1,1,low,high,346.167834,1448.487185,1102.319351,22.96498648,3,24,14_pc_24,2002,4,20,85,948,85 _ 2002
picnic_2002,F,2002,picnic,179,48,5,0.307692308,0.230769231,0.053578611,0.216666667,0.220338983,0.238095238,-1.892857143,1.892857143,0.318230383,3,5,uv,1,1,low,high,380.8741145,1469.644126,1088.770012,22.68270857,3,24,14_pc_24,2002,4,20,85,1036,85 _ 2002
picnic_2002,F,2002,picnic,NA,NA,5,0.307692308,0.230769231,0.053578611,0.216666667,0.220338983,0.238095238,-1.892857143,1.892857143,0.318230383,3,5,uv,1,1,low,high,518.2443573,1452.950262,934.7059047,NA,3,24,14_pc_24,2002,4,20,85,936,85 _ 2002
picnic_2002,F,2002,picnic,179,48,5,0.307692308,0.230769231,0.053578611,0.216666667,0.220338983,0.238095238,-1.892857143,1.892857143,0.318230383,3,5,uv,1,1,low,high,351.218964,1384.438357,1033.219393,21.52540402,3,24,14_pc_24,2002,4,20,85,829,85 _ 2002
picnic_2004,F,2004,picnic,192,35,7,0.04,0.12,0.031662393,0.085034014,0.094339623,0.166666667,-3.261764706,3.261764706,0.261912071,6,1,uv,1,0,high,high,522.5055533,1424.105791,901.6002377,25.76000679,5,41,14_pc_41,2004,2,33,85,345,85 _ 2004
