colony_year,pup_sex,pup_yrborn,pup_col_area,pup_emerjdate,aug15_emergence,pup_littersizeborn,indegree,outdegree,betweenness,outcloseness,incloseness,local_clustering,neg_ave_shortest_path,ave_shortest_path,eigenv,outstrength,instrength,valley,pup_summer_surv,pup_year_surv,yearly.pred.index,overall.index,pup_massjun,pup_massaug,mass_gain,mass_gain.day,mother_age,cluster,groupID,year,group_size,network_size,mother_uid,pup_uid,mother_year
town_2004,F,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,1,1,low,low,346.6828321,1737.638958,1390.956126,28.97825262,6,81,14_tw_81,2004,1,14,26,236,26 _ 2004
town_2006,F,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,314.1296606,1011.885515,697.7558544,18.85826634,8,87,14_tw_87,2006,1,14,26,831,26 _ 2006
town_2006,M,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,241.6130672,963.711902,722.0988348,19.51618472,8,87,14_tw_87,2006,1,14,26,900,26 _ 2006
town_2006,M,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,1,0,high,high,334.2488263,1176.404641,842.1558147,22.76096796,8,87,14_tw_87,2006,1,14,26,455,26 _ 2006
town_2006,M,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,245.4307939,973.6807515,728.2499576,19.68243129,8,87,14_tw_87,2006,1,14,26,911,26 _ 2006
town_2006,M,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,316.2469173,1140.742161,824.4952437,22.28365524,8,87,14_tw_87,2006,1,14,26,490,26 _ 2006
town_2006,F,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,308.8147926,1047.020107,738.2053144,19.95149498,8,87,14_tw_87,2006,1,14,26,310,26 _ 2006
town_2006,F,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,308.6550033,1037.656947,729.0019437,19.70275524,8,87,14_tw_87,2006,1,14,26,397,26 _ 2006
town_2006,M,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,271.9538193,1019.610094,747.6562747,20.20692634,8,87,14_tw_87,2006,1,14,26,196,26 _ 2006
town_2006,F,2006,town,190,37,9,0.1,0,0,0.090909091,0.1,NA,-1.945945946,1.945945946,0,0,1,dv,0,0,high,high,312.6668898,1059.074167,746.4072772,20.17316965,8,87,14_tw_87,2006,1,14,26,518,26 _ 2006
river_2002,M,2002,river,177,50,6,0.181818182,0.181818182,0.014545455,0.1,0.11,0,-1.876923077,1.876923077,0,3,3,dv,1,1,low,high,373.6209259,1853.338762,1479.717836,29.59435672,2,5,14_br_5,2002,11,14,66,930,66 _ 2002
river_2002,F,2002,river,177,50,6,0.181818182,0.181818182,0.014545455,0.1,0.11,0,-1.876923077,1.876923077,0,3,3,dv,1,1,low,high,392.2035248,1824.424909,1432.221384,28.64442768,2,5,14_br_5,2002,11,14,66,902,66 _ 2002
river_2002,F,2002,river,177,50,6,0.181818182,0.181818182,0.014545455,0.1,0.11,0,-1.876923077,1.876923077,0,3,3,dv,1,1,low,high,408.042244,1736.949518,1328.907274,26.57814548,2,5,14_br_5,2002,11,14,66,882,66 _ 2002
